Type,Date,Concurrency,Requests made,Bench Duration,Min,Max,Mean,Std,Quant 25%,Quant 50%,Quant 75%,Quant 90%,Quant 99%,Quant 99.5%,Quant 99.8%,Quant 99.9%,Over 0.5s,Over 1s,Over 2s,Over 3s,Over 4s,Over 5s
,
Lambda & API Gateway,Fri Dec 23 2016 12:10:22 GMT-0800 (PST),1,10000,1204194,69,712,117.3635,47.26664117271286,86,95,160,175,256.02000000000044,,,,17,0,0,0,0,0
Direct EC2 (koa@2),Fri Dec 23 2016 12:25:28 GMT-0800 (PST),1,10000,905651,65,1086,88.5819,11.940489621032947,86,88,90,93,103,,,,1,1,0,0,0,0
EC2 & ALB (koa@2),Fri Dec 23 2016 12:41:03 GMT-0800 (PST),1,10000,934464,82,229,91.5711,4.571405122060407,89,91,93,96,104,,,,0,0,0,0,0,0
EC2 & ELB (koa@2),Fri Dec 23 2016 12:55:40 GMT-0800 (PST),1,10000,877597,77,1118,85.909,21.066473815044695,83,85,87,90,102,,,,4,4,0,0,0,0
Direct EC2 (express@4.14),Fri Dec 23 2016 13:10:44 GMT-0800 (PST),1,10000,903795,72,224,88.3618,4.637380808171779,86,88,90,92,101,,,,0,0,0,0,0,0
EC2 & ALB (express@4.14),Fri Dec 23 2016 13:26:28 GMT-0800 (PST),1,10000,943244,82,1008,92.3348,15.678638619471782,89,91,94,96,108,,,,3,1,0,0,0,0
EC2 & ELB (express@4.14),Fri Dec 23 2016 13:41:14 GMT-0800 (PST),1,10000,886037,77,1095,86.6804,16.4744728546927,83,85,88,91,106,,,,3,1,0,0,0,0
,
Lambda & API Gateway (30s wait),Fri Dec 23 2016 15:29:21 GMT-0800 (PST),1,100,3084106,157,631,225.95,90.23905750837605,179.5,198,233.5,284.80000000000007,629.02,,,,4,0,0,0,0,0
Lambda & API Gateway (10s wait),Fri Dec 23 2016 15:46:43 GMT-0800 (PST),1,100,1042002,160,471,204.38,67.88752168108657,170.75,180,199.25,262.50000000000006,470.01,,,,0,0,0,0,0,0
Lambda & API Gateway (5s wait),Fri Dec 23 2016 15:55:36 GMT-0800 (PST),1,100,533009,161,832,219.86,96.37198970655322,179,189,211,283.10000000000025,655.7800000000009,,,,2,0,0,0,0,0
Lambda & API Gateway (2s wait),Fri Dec 23 2016 15:59:21 GMT-0800 (PST),1,100,224151,98,592,185.85,52.6454888855636,170,176.5,186.25,206.40000000000003,380.1400000000011,,,,1,0,0,0,0,0
Lambda & API Gateway,Fri Dec 23 2016 15:59:35 GMT-0800 (PST),1,100,13913,84,309,131.93,44.500619096817054,91.75,109.5,173.25,186,210.99000000000052,,,,0,0,0,0,0,0
,
Lambda & API Gateway,Sat Dec 24 2016 11:06:24 GMT-0800 (PST),1,10000,1144611,70,1177,111.1291,41.788360020345245,84,91,156.25,169,204,237,283.0040000000008,370,3,2,0,0,0,0
Direct EC2 (koa@2),Sat Dec 24 2016 11:21:50 GMT-0800 (PST),1,10000,926267,80,1441,90.4825,27.290967255669155,86,88,91,93,148.01000000000022,210,271.0020000000004,354.0020000000004,4,3,0,0,0,0
EC2 & ALB (koa@2),Sat Dec 24 2016 11:37:54 GMT-0800 (PST),1,10000,963512,83,1348,94.1222,29.190321463800515,90,92,95,98,119,156.0049999999992,304.0220000000045,465.03700000000754,10,3,0,0,0,0
EC2 & ELB (koa@2),Sat Dec 24 2016 11:52:44 GMT-0800 (PST),1,10000,889634,77,399,86.8523,8.396682958764199,84,86,88,90,107.01000000000022,120,154.00600000000122,196.00400000000081,0,0,0,0,0,0
Direct EC2 (express@4.14),Sat Dec 24 2016 12:07:51 GMT-0800 (PST),1,10000,906814,80,365,88.5132,4.733394739507668,86,88,90,93,100,104,111,116.0010000000002,0,0,0,0,0,0
EC2 & ALB (express@4.14),Sat Dec 24 2016 12:23:09 GMT-0800 (PST),1,10000,917425,80,1088,89.5635,17.440400446950513,86,88,91,93,111,153.0099999999984,214.0020000000004,258.005000000001,2,2,0,0,0,0
EC2 & ELB (express@4.14),Sat Dec 24 2016 12:38:00 GMT-0800 (PST),1,10000,891728,78,425,87.0395,6.303644957482945,85,86,88,91,103,109.0049999999992,126.00200000000041,150.00500000000102,0,0,0,0,0,0
,
Lambda & API Gateway,Sat Dec 24 2016 20:43:49 GMT-0800 (PST),300,100000,227060,440.4122258433894,178,4546,530.07492,238.0398042071788,403,480,566,742,1614.0099999999948,1707,1965.0019999999931,2663.0040000000154,43237,4063,177,32,26,0
Direct EC2 (koa@2),Sat Dec 24 2016 20:45:34 GMT-0800 (PST),300,100000,104645,955.6118304744613,103,1904,261.52381,104.24909195328239,223,242,266,304,675,809.0050000000047,1371,1403.0010000000038,2761,427,0,0,0,0
EC2 & ALB (koa@2),Sat Dec 24 2016 20:47:40 GMT-0800 (PST),300,100000,125603,796.1593274046003,101,1448,319.56576,68.7220408284157,277,307,343,394,566.0099999999948,630,739.0019999999931,852.0010000000038,2205,29,0,0,0,0
EC2 & ELB (koa@2),Sat Dec 24 2016 20:49:38 GMT-0800 (PST),300,100000,117546,850.730777738077,94,1439,297.21029,71.04009282170135,257,286,316,352,609,656,708,752.0020000000077,2561,65,0,0,0,0
Direct EC2 (express@4.14),Sat Dec 24 2016 20:51:15 GMT-0800 (PST),300,100000,96044,1041.1894548332016,92,1420,239.40472,72.4092101995452,216,233,251,272,351.00999999999476,513,1351.0019999999931,1367,534,323,0,0,0,0
EC2 & ALB (express@4.14),Sat Dec 24 2016 20:53:08 GMT-0800 (PST),300,100000,112832,886.2733976176971,96,1497,286.61199,54.29316898321403,256,281,310,334,396,420,554.0019999999931,926.0040000000154,218,97,0,0,0,0
EC2 & ELB (express@4.14),Sat Dec 24 2016 20:55:09 GMT-0800 (PST),300,100000,119407,837.4718400093797,141,2608,304.36197,75.04866612884787,264,294,323,362,601,700.0050000000047,811.0019999999931,1381,1921,117,1,0,0,0
,
Lambda & API Gateway,Sat Dec 24 2016 21:14:10 GMT-0800 (PST),30,100000,373038,268.0692047458972,73,1310,106.02733,24.415518898244642,94,101,111,124,189,216,281.00199999999313,345.00600000002305,39,5,0,0,0,0
Direct EC2 (koa@2),Sat Dec 24 2016 21:19:38 GMT-0800 (PST),30,100000,326481,306.2965379302318,75,669,95.8568,14.352494339311377,91,94,98,103,130,164,222.00199999999313,285,11,0,0,0,0,0
EC2 & ALB (koa@2),Sat Dec 24 2016 21:25:13 GMT-0800 (PST),30,100000,333421,299.921120745244,81,1334,98.01284,28.57107339835856,93,96,101,105,121,130.00500000000466,162,288.00100000000384,50,50,0,0,0,0
EC2 & ELB (koa@2),Sat Dec 24 2016 21:30:39 GMT-0800 (PST),30,100000,323573,309.0492717253912,77,1325,95.01052,21.745520212908758,89,93,98,104,123,135,165.00199999999313,204,27,27,0,0,0,0
Direct EC2 (express@4.14),Sat Dec 24 2016 21:36:02 GMT-0800 (PST),30,100000,321579,310.96557922003615,79,1106,94.82632,7.379513212781992,91,94,98,102,114,119,125,130,4,1,0,0,0,0
EC2 & ALB (express@4.14),Sat Dec 24 2016 21:41:41 GMT-0800 (PST),30,100000,337290,296.48077322185657,79,1344,99.09966,33.42558941715713,93,96,101,106,140,175,300,587.0010000000038,110,54,0,0,0,0
EC2 & ELB (express@4.14),Sat Dec 24 2016 21:47:23 GMT-0800 (PST),30,100000,340835,293.3970983026978,81,2320,100.293,39.33226755476858,95,99,103,108,126,136,159,193.00100000000384,31,31,30,0,0,0
,
Lambda & API Gateway,Sun Dec 25 2016 00:11:39 GMT-0800 (PST),3,100000,3041191,32.881854510288896,67,6818,88.71851,34.52235787689722,80,84,89,96,169,178,230.00399999998626,308,33,16,2,2,1,1
Direct EC2 (koa@2),Sun Dec 25 2016 01:02:05 GMT-0800 (PST),3,100000,3023025,33.07944856559241,72,610,89.04464,6.468626382037881,86,89,91,94,101,105,112,122,2,0,0,0,0,0
EC2 & ALB (koa@2),Sun Dec 25 2016 01:53:01 GMT-0800 (PST),3,100000,3053043,32.75420621327639,80,1485,90.09787,22.35983880673644,86,89,91,94,106,153.00500000000466,268.00199999999313,296.00100000000384,37,27,0,0,0,0
EC2 & ELB (koa@2),Sun Dec 25 2016 02:45:15 GMT-0800 (PST),3,100000,3132245,31.925982801473065,80,481,92.45598,6.906712838940749,89,92,95,98,105,109,116,127,0,0,0,0,0,0
Direct EC2 (express@4.14),Sun Dec 25 2016 03:35:51 GMT-0800 (PST),3,100000,3032517,32.97590747224171,70,1487,89.3292,14.334806150067012,86,89,91,93,101.00999999999476,114,178,230.00100000000384,14,7,0,0,0,0
EC2 & ALB (express@4.14),Sun Dec 25 2016 04:26:30 GMT-0800 (PST),3,100000,3035379,32.94481512852267,80,1615,89.52076,16.273505738541722,86,89,91,94,101,106,120,172.00100000000384,18,17,0,0,0,0
EC2 & ELB (express@4.14),Sun Dec 25 2016 05:19:01 GMT-0800 (PST),3,100000,3149801,31.748037415697056,80,1148,92.94681,7.034696924807624,90,93,96,99,105,108,116,124,2,2,0,0,0,0
,
Lambda & API Gateway,Sun Dec 25 2016 17:16:00 GMT-0800 (PST),1,28322,3600119,7.866962175416979,70,1870,123.92913636042653,54.17493795894511,89,100,164,184,287.7900000000009,342,426.0740000000005,587.1850000000013,40,7,0,0,0,0
EC2 & ALB (express@4.14),Sun Dec 25 2016 17:16:01 GMT-0800 (PST),1,39631,3600748,11.006324241518707,77,1463,89.11803890893492,16.174459077230004,86,88,91,94,113,125,148.73999999999796,191.74000000000524,7,6,0,0,0,0
,
Lambda & API Gateway,Sun Dec 25 2016 19:45:54 GMT-0800 (PST),20,1000000,5316605,188.08995590230987,70,3550,102.894077,39.69033543974986,90,96,105,119,222,289,402,560,1260,284,22,4,0,0
Direct EC2 (express@4.14),Sun Dec 25 2016 21:09:45 GMT-0800 (PST),20,1000000,4966884,201.33347185076195,72,1883,97.949558,27.88737989858104,90,93,97,103,224,264,293,306,242,162,0,0,0,0
,
